 #STATIONS  #MeanMaxTrain
   12	    7.909386 
   12	    7.733158 
   12	    7.936633 
   12	    8.093988 
   12	    7.762030 
   12	    8.058493 
   
   13	    9.283465 
   13	    9.227347 
   13	    9.516935 
   13	    9.478190 
   13	    9.296963 
   13	    9.688164 
   
   14	    11.265342 
   14	    10.904137 
   14	    10.940507 
   14	    11.416323 
   14	    10.900012 
   14	    11.109236 
   
   15	    13.814523 
   15	    13.830021 
   15	    13.752906 
   15	    13.908761 
   15	    14.196975 
   15	    13.870266 
   
   16	    16.950006 
   16	    16.749031 
   16	    16.612673 
   16	    16.970254 
   16	    17.144982 
   16	    16.768779 
   16	    16.511436 
   
